8.28 W, 2184 MHz, 0 %
8.28 W, 2184 MHz, 0 %
8.27 W, 2184 MHz, 0 %
8.30 W, 2184 MHz, 0 %
8.26 W, 2184 MHz, 0 %
8.28 W, 2184 MHz, 0 %
16.85 W, 2184 MHz, 93 %
31.52 W, 2177 MHz, 95 %
31.80 W, 2177 MHz, 96 %
32.19 W, 2177 MHz, 94 %
32.33 W, 2177 MHz, 95 %
31.95 W, 2177 MHz, 96 %
32.13 W, 2177 MHz, 95 %
32.11 W, 2177 MHz, 96 %
31.89 W, 2177 MHz, 96 %
32.57 W, 2177 MHz, 96 %
32.26 W, 2184 MHz, 93 %
31.59 W, 2177 MHz, 96 %
32.35 W, 2177 MHz, 96 %
32.39 W, 2177 MHz, 96 %
32.83 W, 2177 MHz, 96 %
32.62 W, 2177 MHz, 95 %
32.61 W, 2177 MHz, 94 %
32.63 W, 2177 MHz, 95 %
32.78 W, 2177 MHz, 96 %
32.73 W, 2177 MHz, 96 %
32.86 W, 2177 MHz, 96 %
34.62 W, 2177 MHz, 95 %
32.60 W, 2177 MHz, 95 %
33.13 W, 2177 MHz, 96 %
32.87 W, 2177 MHz, 96 %
32.92 W, 2177 MHz, 95 %
33.10 W, 2177 MHz, 95 %
33.04 W, 2177 MHz, 96 %
33.23 W, 2177 MHz, 96 %
32.84 W, 2177 MHz, 96 %
33.27 W, 2177 MHz, 96 %
33.60 W, 2177 MHz, 95 %
34.73 W, 2177 MHz, 96 %
33.97 W, 2171 MHz, 95 %
33.62 W, 2171 MHz, 95 %
34.00 W, 2177 MHz, 96 %
33.81 W, 2171 MHz, 95 %
33.33 W, 2177 MHz, 96 %
33.17 W, 2177 MHz, 96 %
33.58 W, 2177 MHz, 96 %
34.06 W, 2177 MHz, 95 %
33.46 W, 2177 MHz, 96 %
33.68 W, 2177 MHz, 96 %
34.63 W, 2177 MHz, 95 %
34.31 W, 2177 MHz, 96 %
33.38 W, 2177 MHz, 96 %
33.83 W, 2177 MHz, 96 %
33.63 W, 2171 MHz, 96 %
33.99 W, 2177 MHz, 96 %
33.40 W, 2177 MHz, 96 %
33.69 W, 2177 MHz, 96 %
33.39 W, 2177 MHz, 96 %
33.64 W, 2177 MHz, 96 %
33.89 W, 2177 MHz, 96 %
35.02 W, 2177 MHz, 95 %
34.71 W, 2177 MHz, 95 %
33.68 W, 2177 MHz, 95 %
34.19 W, 2177 MHz, 96 %
33.92 W, 2177 MHz, 95 %
33.62 W, 2177 MHz, 96 %
33.63 W, 2177 MHz, 96 %
34.28 W, 2177 MHz, 96 %
33.91 W, 2177 MHz, 95 %
33.95 W, 2177 MHz, 94 %
