8.85 W, 2177 MHz, 0 %
8.85 W, 2177 MHz, 0 %
8.86 W, 2177 MHz, 0 %
8.91 W, 2177 MHz, 0 %
8.91 W, 2177 MHz, 0 %
8.93 W, 2177 MHz, 0 %
13.41 W, 2177 MHz, 94 %
32.56 W, 2171 MHz, 95 %
32.78 W, 2171 MHz, 96 %
33.12 W, 2171 MHz, 96 %
33.41 W, 2171 MHz, 96 %
32.93 W, 2171 MHz, 95 %
33.34 W, 2171 MHz, 96 %
33.26 W, 2171 MHz, 96 %
33.17 W, 2171 MHz, 95 %
33.60 W, 2171 MHz, 96 %
33.88 W, 2171 MHz, 92 %
33.12 W, 2171 MHz, 96 %
33.35 W, 2171 MHz, 96 %
33.65 W, 2171 MHz, 95 %
34.11 W, 2171 MHz, 95 %
34.04 W, 2171 MHz, 95 %
33.88 W, 2171 MHz, 96 %
34.08 W, 2171 MHz, 96 %
34.04 W, 2171 MHz, 96 %
33.98 W, 2171 MHz, 95 %
34.32 W, 2177 MHz, 95 %
36.25 W, 2177 MHz, 95 %
34.25 W, 2177 MHz, 96 %
34.78 W, 2177 MHz, 96 %
34.49 W, 2184 MHz, 96 %
34.54 W, 2177 MHz, 96 %
34.79 W, 2184 MHz, 96 %
35.01 W, 2184 MHz, 96 %
35.21 W, 2184 MHz, 96 %
34.73 W, 2184 MHz, 96 %
35.39 W, 2184 MHz, 96 %
35.08 W, 2184 MHz, 96 %
36.74 W, 2184 MHz, 96 %
35.61 W, 2184 MHz, 96 %
35.73 W, 2184 MHz, 96 %
35.83 W, 2184 MHz, 96 %
35.83 W, 2184 MHz, 96 %
35.13 W, 2184 MHz, 96 %
35.01 W, 2184 MHz, 95 %
35.43 W, 2184 MHz, 96 %
35.62 W, 2184 MHz, 96 %
35.73 W, 2184 MHz, 96 %
35.62 W, 2184 MHz, 96 %
36.60 W, 2184 MHz, 95 %
36.09 W, 2184 MHz, 96 %
35.59 W, 2184 MHz, 96 %
35.95 W, 2184 MHz, 96 %
35.30 W, 2184 MHz, 95 %
35.60 W, 2184 MHz, 96 %
35.64 W, 2184 MHz, 96 %
35.95 W, 2184 MHz, 96 %
35.59 W, 2184 MHz, 96 %
35.34 W, 2184 MHz, 96 %
35.60 W, 2184 MHz, 95 %
37.00 W, 2184 MHz, 96 %
36.72 W, 2184 MHz, 96 %
35.20 W, 2184 MHz, 96 %
35.88 W, 2184 MHz, 96 %
35.79 W, 2184 MHz, 94 %
36.05 W, 2184 MHz, 96 %
35.63 W, 2184 MHz, 96 %
35.82 W, 2184 MHz, 96 %
35.82 W, 2184 MHz, 95 %
36.22 W, 2184 MHz, 96 %
