29.19 W, 2398 MHz, 0 %
14.27 W, 2398 MHz, 0 %
13.97 W, 2398 MHz, 0 %
13.89 W, 2398 MHz, 0 %
13.77 W, 2398 MHz, 0 %
13.71 W, 2398 MHz, 0 %
21.38 W, 2398 MHz, 94 %
43.26 W, 2483 MHz, 82 %
45.10 W, 2470 MHz, 90 %
46.26 W, 2470 MHz, 91 %
46.20 W, 2463 MHz, 89 %
46.23 W, 2463 MHz, 91 %
44.65 W, 2463 MHz, 85 %
46.06 W, 2463 MHz, 87 %
46.39 W, 2463 MHz, 89 %
45.93 W, 2463 MHz, 89 %
46.58 W, 2463 MHz, 88 %
44.74 W, 2463 MHz, 90 %
45.74 W, 2463 MHz, 85 %
45.53 W, 2463 MHz, 86 %
46.34 W, 2463 MHz, 95 %
47.06 W, 2463 MHz, 90 %
47.97 W, 2463 MHz, 94 %
48.11 W, 2463 MHz, 94 %
48.08 W, 2463 MHz, 95 %
48.26 W, 2463 MHz, 94 %
47.38 W, 2463 MHz, 94 %
47.42 W, 2463 MHz, 94 %
46.41 W, 2463 MHz, 88 %
47.33 W, 2463 MHz, 95 %
47.50 W, 2463 MHz, 93 %
47.90 W, 2457 MHz, 94 %
47.99 W, 2463 MHz, 94 %
48.03 W, 2463 MHz, 94 %
47.12 W, 2463 MHz, 94 %
46.96 W, 2463 MHz, 94 %
46.99 W, 2463 MHz, 94 %
47.27 W, 2457 MHz, 94 %
46.37 W, 2457 MHz, 94 %
46.25 W, 2470 MHz, 94 %
46.69 W, 2463 MHz, 95 %
46.81 W, 2463 MHz, 95 %
46.73 W, 2463 MHz, 94 %
46.68 W, 2463 MHz, 94 %
46.71 W, 2463 MHz, 94 %
46.90 W, 2463 MHz, 95 %
46.97 W, 2463 MHz, 94 %
46.97 W, 2463 MHz, 94 %
46.32 W, 2463 MHz, 94 %
46.38 W, 2463 MHz, 94 %
45.62 W, 2463 MHz, 95 %
46.12 W, 2463 MHz, 90 %
45.53 W, 2463 MHz, 85 %
45.74 W, 2463 MHz, 94 %
46.23 W, 2463 MHz, 91 %
45.96 W, 2463 MHz, 88 %
46.35 W, 2463 MHz, 94 %
46.12 W, 2476 MHz, 94 %
46.42 W, 2476 MHz, 94 %
46.36 W, 2476 MHz, 94 %
46.44 W, 2483 MHz, 94 %
45.10 W, 2470 MHz, 95 %
46.39 W, 2476 MHz, 95 %
46.21 W, 2476 MHz, 94 %
46.87 W, 2483 MHz, 94 %
47.10 W, 2476 MHz, 94 %
46.30 W, 2483 MHz, 94 %
46.15 W, 2483 MHz, 95 %
47.29 W, 2476 MHz, 95 %
47.10 W, 2476 MHz, 94 %
