21.58 W, 2177 MHz, 0 %
10.50 W, 2184 MHz, 0 %
10.30 W, 2184 MHz, 0 %
10.23 W, 2184 MHz, 0 %
10.19 W, 2184 MHz, 0 %
10.15 W, 2184 MHz, 0 %
10.06 W, 2184 MHz, 0 %
30.32 W, 2177 MHz, 94 %
30.38 W, 2177 MHz, 94 %
31.08 W, 2177 MHz, 95 %
31.09 W, 2177 MHz, 94 %
31.13 W, 2177 MHz, 95 %
30.70 W, 2177 MHz, 95 %
30.91 W, 2177 MHz, 94 %
31.21 W, 2177 MHz, 95 %
31.07 W, 2177 MHz, 94 %
31.29 W, 2177 MHz, 95 %
30.29 W, 2177 MHz, 93 %
31.31 W, 2177 MHz, 94 %
30.82 W, 2177 MHz, 95 %
31.01 W, 2177 MHz, 94 %
31.56 W, 2177 MHz, 95 %
31.99 W, 2177 MHz, 95 %
32.21 W, 2177 MHz, 95 %
32.20 W, 2177 MHz, 94 %
32.36 W, 2177 MHz, 95 %
31.92 W, 2177 MHz, 95 %
31.79 W, 2177 MHz, 95 %
31.33 W, 2177 MHz, 94 %
31.42 W, 2177 MHz, 94 %
31.91 W, 2177 MHz, 94 %
32.10 W, 2177 MHz, 94 %
32.12 W, 2177 MHz, 94 %
32.23 W, 2177 MHz, 94 %
31.59 W, 2177 MHz, 94 %
31.55 W, 2177 MHz, 94 %
31.22 W, 2177 MHz, 94 %
31.67 W, 2177 MHz, 94 %
31.08 W, 2177 MHz, 95 %
30.91 W, 2177 MHz, 94 %
31.25 W, 2177 MHz, 95 %
31.46 W, 2177 MHz, 94 %
31.40 W, 2177 MHz, 94 %
31.31 W, 2177 MHz, 94 %
31.13 W, 2177 MHz, 95 %
31.56 W, 2177 MHz, 94 %
31.44 W, 2177 MHz, 95 %
31.67 W, 2177 MHz, 95 %
31.05 W, 2177 MHz, 95 %
31.34 W, 2177 MHz, 95 %
30.90 W, 2177 MHz, 95 %
31.09 W, 2177 MHz, 94 %
30.98 W, 2177 MHz, 95 %
30.90 W, 2177 MHz, 94 %
31.34 W, 2177 MHz, 95 %
31.19 W, 2177 MHz, 90 %
31.04 W, 2177 MHz, 93 %
31.20 W, 2177 MHz, 94 %
31.23 W, 2177 MHz, 95 %
31.32 W, 2177 MHz, 95 %
31.18 W, 2177 MHz, 95 %
30.87 W, 2177 MHz, 94 %
31.10 W, 2177 MHz, 95 %
31.07 W, 2177 MHz, 94 %
31.42 W, 2177 MHz, 94 %
31.51 W, 2177 MHz, 94 %
31.32 W, 2177 MHz, 95 %
31.09 W, 2177 MHz, 95 %
31.85 W, 2177 MHz, 95 %
31.65 W, 2177 MHz, 94 %
