34.61 W, 2476 MHz, 0 %
15.90 W, 2411 MHz, 0 %
15.68 W, 2411 MHz, 0 %
15.48 W, 2411 MHz, 0 %
15.23 W, 2411 MHz, 0 %
14.73 W, 2398 MHz, 0 %
14.68 W, 2398 MHz, 0 %
50.25 W, 2509 MHz, 95 %
50.62 W, 2509 MHz, 94 %
51.63 W, 2509 MHz, 94 %
51.69 W, 2509 MHz, 94 %
51.91 W, 2509 MHz, 94 %
51.34 W, 2509 MHz, 95 %
51.79 W, 2509 MHz, 94 %
52.18 W, 2509 MHz, 95 %
51.92 W, 2509 MHz, 94 %
52.33 W, 2509 MHz, 94 %
50.73 W, 2509 MHz, 94 %
51.87 W, 2509 MHz, 89 %
51.49 W, 2509 MHz, 95 %
51.72 W, 2509 MHz, 95 %
52.52 W, 2509 MHz, 95 %
53.16 W, 2509 MHz, 95 %
53.77 W, 2509 MHz, 94 %
53.78 W, 2509 MHz, 94 %
53.92 W, 2509 MHz, 94 %
53.32 W, 2509 MHz, 94 %
53.08 W, 2509 MHz, 94 %
52.53 W, 2502 MHz, 94 %
52.26 W, 2502 MHz, 94 %
53.21 W, 2509 MHz, 94 %
53.62 W, 2509 MHz, 94 %
53.66 W, 2502 MHz, 94 %
53.91 W, 2509 MHz, 94 %
52.76 W, 2509 MHz, 88 %
52.55 W, 2509 MHz, 87 %
51.90 W, 2509 MHz, 87 %
52.85 W, 2502 MHz, 92 %
51.81 W, 2509 MHz, 87 %
51.49 W, 2502 MHz, 89 %
52.00 W, 2502 MHz, 87 %
52.31 W, 2509 MHz, 95 %
52.44 W, 2509 MHz, 95 %
52.18 W, 2502 MHz, 88 %
52.12 W, 2509 MHz, 92 %
52.60 W, 2509 MHz, 90 %
52.34 W, 2509 MHz, 88 %
52.62 W, 2509 MHz, 94 %
52.12 W, 2502 MHz, 94 %
52.38 W, 2509 MHz, 89 %
51.40 W, 2496 MHz, 93 %
51.79 W, 2502 MHz, 93 %
52.04 W, 2502 MHz, 94 %
51.96 W, 2509 MHz, 94 %
52.53 W, 2502 MHz, 94 %
52.29 W, 2509 MHz, 95 %
52.22 W, 2509 MHz, 94 %
52.51 W, 2509 MHz, 93 %
52.47 W, 2509 MHz, 94 %
52.60 W, 2509 MHz, 90 %
52.51 W, 2509 MHz, 95 %
51.44 W, 2496 MHz, 93 %
51.99 W, 2502 MHz, 93 %
51.94 W, 2509 MHz, 87 %
52.62 W, 2502 MHz, 92 %
52.87 W, 2502 MHz, 92 %
52.57 W, 2502 MHz, 94 %
52.07 W, 2502 MHz, 95 %
53.19 W, 2502 MHz, 94 %
53.24 W, 2502 MHz, 94 %
