28.95 W, 2405 MHz, 0 %
14.09 W, 2405 MHz, 0 %
13.87 W, 2405 MHz, 0 %
13.89 W, 2405 MHz, 0 %
13.70 W, 2405 MHz, 0 %
13.60 W, 2405 MHz, 0 %
22.45 W, 2405 MHz, 95 %
45.30 W, 2509 MHz, 95 %
46.62 W, 2509 MHz, 94 %
47.36 W, 2509 MHz, 95 %
47.28 W, 2509 MHz, 95 %
47.32 W, 2509 MHz, 95 %
46.64 W, 2515 MHz, 94 %
47.44 W, 2509 MHz, 95 %
47.81 W, 2509 MHz, 94 %
47.49 W, 2509 MHz, 94 %
47.85 W, 2509 MHz, 94 %
46.14 W, 2509 MHz, 94 %
46.89 W, 2509 MHz, 94 %
46.87 W, 2515 MHz, 94 %
47.24 W, 2509 MHz, 90 %
48.07 W, 2509 MHz, 91 %
48.92 W, 2509 MHz, 94 %
48.99 W, 2509 MHz, 95 %
48.94 W, 2509 MHz, 94 %
49.24 W, 2509 MHz, 95 %
48.29 W, 2509 MHz, 92 %
48.38 W, 2509 MHz, 95 %
47.26 W, 2509 MHz, 94 %
48.32 W, 2509 MHz, 95 %
48.58 W, 2509 MHz, 94 %
48.89 W, 2509 MHz, 94 %
48.88 W, 2509 MHz, 95 %
48.74 W, 2509 MHz, 94 %
47.86 W, 2502 MHz, 94 %
47.80 W, 2509 MHz, 94 %
47.88 W, 2509 MHz, 94 %
47.98 W, 2509 MHz, 92 %
46.95 W, 2502 MHz, 89 %
47.18 W, 2502 MHz, 94 %
47.33 W, 2509 MHz, 95 %
47.73 W, 2509 MHz, 94 %
47.53 W, 2509 MHz, 94 %
47.70 W, 2509 MHz, 94 %
47.46 W, 2509 MHz, 94 %
47.82 W, 2509 MHz, 91 %
47.90 W, 2509 MHz, 94 %
47.77 W, 2509 MHz, 89 %
47.34 W, 2509 MHz, 95 %
47.41 W, 2509 MHz, 95 %
46.55 W, 2502 MHz, 93 %
46.96 W, 2509 MHz, 95 %
46.68 W, 2509 MHz, 94 %
47.11 W, 2509 MHz, 94 %
47.51 W, 2509 MHz, 94 %
47.33 W, 2509 MHz, 94 %
47.44 W, 2509 MHz, 94 %
47.07 W, 2509 MHz, 92 %
47.53 W, 2509 MHz, 95 %
47.64 W, 2509 MHz, 95 %
47.22 W, 2502 MHz, 93 %
46.06 W, 2496 MHz, 95 %
47.41 W, 2509 MHz, 94 %
46.99 W, 2509 MHz, 91 %
47.81 W, 2509 MHz, 95 %
48.00 W, 2502 MHz, 94 %
47.21 W, 2509 MHz, 95 %
47.07 W, 2509 MHz, 95 %
48.13 W, 2509 MHz, 89 %
48.29 W, 2509 MHz, 95 %
