15.11 W, 2398 MHz, 0 %
13.60 W, 2398 MHz, 0 %
13.52 W, 2398 MHz, 0 %
13.43 W, 2398 MHz, 0 %
13.33 W, 2398 MHz, 0 %
13.26 W, 2398 MHz, 0 %
21.99 W, 2444 MHz, 92 %
42.38 W, 2483 MHz, 96 %
41.48 W, 2483 MHz, 95 %
40.74 W, 2483 MHz, 96 %
40.82 W, 2476 MHz, 95 %
40.59 W, 2476 MHz, 96 %
40.77 W, 2476 MHz, 95 %
40.97 W, 2476 MHz, 96 %
40.62 W, 2476 MHz, 96 %
41.19 W, 2476 MHz, 95 %
40.71 W, 2483 MHz, 96 %
40.55 W, 2476 MHz, 96 %
40.12 W, 2470 MHz, 92 %
40.76 W, 2476 MHz, 90 %
40.32 W, 2476 MHz, 95 %
40.12 W, 2476 MHz, 94 %
40.16 W, 2476 MHz, 95 %
40.00 W, 2470 MHz, 96 %
40.28 W, 2476 MHz, 95 %
40.42 W, 2476 MHz, 96 %
40.22 W, 2476 MHz, 96 %
40.28 W, 2476 MHz, 96 %
40.25 W, 2476 MHz, 94 %
40.29 W, 2470 MHz, 95 %
39.92 W, 2470 MHz, 95 %
39.10 W, 2470 MHz, 89 %
40.41 W, 2476 MHz, 88 %
40.72 W, 2476 MHz, 94 %
40.25 W, 2476 MHz, 95 %
40.14 W, 2476 MHz, 96 %
40.15 W, 2476 MHz, 96 %
40.42 W, 2476 MHz, 95 %
40.54 W, 2476 MHz, 95 %
40.76 W, 2470 MHz, 94 %
40.45 W, 2476 MHz, 96 %
40.72 W, 2476 MHz, 95 %
40.47 W, 2470 MHz, 96 %
40.53 W, 2470 MHz, 96 %
40.00 W, 2476 MHz, 94 %
40.86 W, 2476 MHz, 95 %
40.92 W, 2476 MHz, 94 %
40.88 W, 2476 MHz, 96 %
40.74 W, 2476 MHz, 96 %
40.35 W, 2476 MHz, 96 %
40.33 W, 2476 MHz, 95 %
40.65 W, 2476 MHz, 96 %
40.76 W, 2476 MHz, 96 %
40.77 W, 2476 MHz, 95 %
40.62 W, 2476 MHz, 95 %
40.46 W, 2470 MHz, 96 %
40.46 W, 2470 MHz, 95 %
41.15 W, 2476 MHz, 91 %
41.19 W, 2483 MHz, 96 %
40.87 W, 2483 MHz, 96 %
40.61 W, 2476 MHz, 96 %
40.78 W, 2476 MHz, 95 %
40.84 W, 2476 MHz, 95 %
40.60 W, 2476 MHz, 95 %
40.73 W, 2476 MHz, 96 %
40.46 W, 2470 MHz, 94 %
40.49 W, 2476 MHz, 96 %
40.54 W, 2476 MHz, 95 %
40.48 W, 2476 MHz, 96 %
40.56 W, 2470 MHz, 96 %
