20.64 W, 2184 MHz, 0 %
10.22 W, 2184 MHz, 0 %
10.21 W, 2184 MHz, 0 %
10.10 W, 2184 MHz, 0 %
10.08 W, 2184 MHz, 0 %
9.94 W, 2184 MHz, 0 %
9.91 W, 2171 MHz, 0 %
27.56 W, 2184 MHz, 95 %
27.61 W, 2184 MHz, 94 %
27.14 W, 2184 MHz, 94 %
27.42 W, 2184 MHz, 95 %
26.94 W, 2184 MHz, 96 %
27.34 W, 2184 MHz, 95 %
27.36 W, 2184 MHz, 96 %
27.43 W, 2184 MHz, 95 %
27.49 W, 2184 MHz, 95 %
27.27 W, 2184 MHz, 94 %
27.31 W, 2184 MHz, 95 %
27.12 W, 2184 MHz, 92 %
27.67 W, 2184 MHz, 89 %
26.99 W, 2184 MHz, 94 %
27.15 W, 2184 MHz, 96 %
26.81 W, 2184 MHz, 95 %
27.07 W, 2184 MHz, 94 %
27.11 W, 2184 MHz, 95 %
27.18 W, 2184 MHz, 95 %
27.18 W, 2184 MHz, 96 %
27.02 W, 2184 MHz, 94 %
27.28 W, 2184 MHz, 95 %
27.08 W, 2184 MHz, 95 %
27.07 W, 2184 MHz, 96 %
26.26 W, 2184 MHz, 89 %
27.62 W, 2184 MHz, 91 %
26.96 W, 2184 MHz, 96 %
26.83 W, 2184 MHz, 96 %
27.17 W, 2184 MHz, 95 %
27.02 W, 2184 MHz, 94 %
26.94 W, 2184 MHz, 96 %
27.22 W, 2184 MHz, 94 %
27.30 W, 2184 MHz, 95 %
27.20 W, 2184 MHz, 94 %
27.34 W, 2184 MHz, 96 %
27.16 W, 2184 MHz, 96 %
27.39 W, 2184 MHz, 96 %
26.66 W, 2184 MHz, 90 %
27.71 W, 2184 MHz, 86 %
27.24 W, 2184 MHz, 94 %
27.36 W, 2184 MHz, 96 %
27.35 W, 2184 MHz, 96 %
27.29 W, 2184 MHz, 96 %
27.05 W, 2184 MHz, 96 %
27.26 W, 2184 MHz, 96 %
27.36 W, 2184 MHz, 94 %
27.25 W, 2184 MHz, 96 %
27.34 W, 2184 MHz, 96 %
27.25 W, 2184 MHz, 96 %
27.25 W, 2184 MHz, 94 %
27.76 W, 2184 MHz, 91 %
27.03 W, 2184 MHz, 90 %
27.24 W, 2184 MHz, 96 %
27.16 W, 2184 MHz, 95 %
27.39 W, 2184 MHz, 96 %
27.13 W, 2184 MHz, 95 %
27.39 W, 2184 MHz, 96 %
27.19 W, 2184 MHz, 96 %
27.14 W, 2184 MHz, 94 %
27.03 W, 2184 MHz, 96 %
27.28 W, 2184 MHz, 96 %
27.12 W, 2184 MHz, 95 %
27.17 W, 2184 MHz, 95 %
