34.56 W, 2411 MHz, 0 %
16.08 W, 2411 MHz, 0 %
15.94 W, 2411 MHz, 0 %
15.62 W, 2411 MHz, 0 %
15.43 W, 2411 MHz, 0 %
15.27 W, 2411 MHz, 0 %
14.90 W, 2398 MHz, 0 %
46.15 W, 2509 MHz, 90 %
47.47 W, 2509 MHz, 95 %
46.44 W, 2502 MHz, 95 %
46.92 W, 2502 MHz, 96 %
46.01 W, 2502 MHz, 96 %
46.51 W, 2502 MHz, 96 %
46.71 W, 2502 MHz, 95 %
46.83 W, 2502 MHz, 94 %
46.99 W, 2502 MHz, 95 %
46.51 W, 2502 MHz, 94 %
46.80 W, 2502 MHz, 94 %
46.21 W, 2502 MHz, 93 %
46.66 W, 2489 MHz, 92 %
46.53 W, 2502 MHz, 96 %
46.48 W, 2502 MHz, 94 %
46.47 W, 2502 MHz, 95 %
46.26 W, 2502 MHz, 96 %
46.49 W, 2502 MHz, 96 %
46.81 W, 2502 MHz, 96 %
46.68 W, 2509 MHz, 95 %
46.66 W, 2502 MHz, 96 %
46.66 W, 2502 MHz, 95 %
46.70 W, 2502 MHz, 94 %
46.60 W, 2496 MHz, 95 %
45.15 W, 2489 MHz, 92 %
46.91 W, 2489 MHz, 96 %
46.89 W, 2509 MHz, 96 %
46.99 W, 2509 MHz, 96 %
46.54 W, 2502 MHz, 96 %
46.53 W, 2502 MHz, 95 %
46.91 W, 2502 MHz, 95 %
46.90 W, 2502 MHz, 96 %
47.07 W, 2502 MHz, 96 %
46.85 W, 2502 MHz, 94 %
47.23 W, 2502 MHz, 96 %
46.97 W, 2496 MHz, 96 %
47.00 W, 2496 MHz, 95 %
45.54 W, 2496 MHz, 89 %
47.66 W, 2502 MHz, 90 %
47.36 W, 2502 MHz, 95 %
47.47 W, 2502 MHz, 94 %
47.48 W, 2502 MHz, 95 %
47.22 W, 2502 MHz, 94 %
47.05 W, 2502 MHz, 96 %
47.24 W, 2502 MHz, 95 %
47.62 W, 2502 MHz, 94 %
47.00 W, 2509 MHz, 95 %
47.00 W, 2502 MHz, 96 %
46.87 W, 2496 MHz, 96 %
47.11 W, 2502 MHz, 95 %
46.93 W, 2483 MHz, 87 %
47.25 W, 2509 MHz, 96 %
47.54 W, 2509 MHz, 96 %
47.11 W, 2502 MHz, 95 %
47.04 W, 2483 MHz, 94 %
47.41 W, 2502 MHz, 95 %
47.37 W, 2502 MHz, 96 %
47.23 W, 2502 MHz, 94 %
47.10 W, 2502 MHz, 95 %
47.07 W, 2502 MHz, 95 %
47.29 W, 2502 MHz, 95 %
46.73 W, 2502 MHz, 94 %
46.70 W, 2496 MHz, 95 %
