15.05 W, 2405 MHz, 0 %
13.62 W, 2405 MHz, 0 %
13.45 W, 2405 MHz, 0 %
13.27 W, 2405 MHz, 0 %
13.22 W, 2405 MHz, 0 %
13.16 W, 2405 MHz, 0 %
21.01 W, 2470 MHz, 88 %
43.44 W, 2515 MHz, 95 %
41.98 W, 2509 MHz, 94 %
41.64 W, 2509 MHz, 96 %
41.60 W, 2509 MHz, 94 %
41.36 W, 2502 MHz, 95 %
41.27 W, 2502 MHz, 94 %
41.70 W, 2509 MHz, 95 %
41.36 W, 2502 MHz, 95 %
42.00 W, 2502 MHz, 94 %
41.68 W, 2509 MHz, 95 %
40.96 W, 2502 MHz, 96 %
40.45 W, 2489 MHz, 92 %
41.46 W, 2502 MHz, 89 %
41.10 W, 2502 MHz, 95 %
40.99 W, 2509 MHz, 94 %
40.91 W, 2496 MHz, 96 %
40.79 W, 2496 MHz, 95 %
41.19 W, 2502 MHz, 94 %
40.99 W, 2502 MHz, 95 %
41.13 W, 2502 MHz, 96 %
41.21 W, 2502 MHz, 96 %
41.09 W, 2496 MHz, 96 %
41.13 W, 2502 MHz, 94 %
40.87 W, 2502 MHz, 95 %
39.88 W, 2489 MHz, 89 %
40.76 W, 2502 MHz, 90 %
41.62 W, 2502 MHz, 94 %
41.03 W, 2502 MHz, 95 %
40.88 W, 2502 MHz, 96 %
40.93 W, 2496 MHz, 94 %
41.25 W, 2496 MHz, 95 %
41.15 W, 2502 MHz, 96 %
41.80 W, 2502 MHz, 95 %
41.20 W, 2496 MHz, 96 %
41.56 W, 2496 MHz, 96 %
41.39 W, 2496 MHz, 96 %
41.56 W, 2502 MHz, 96 %
40.68 W, 2496 MHz, 96 %
41.72 W, 2502 MHz, 94 %
41.87 W, 2502 MHz, 95 %
41.81 W, 2502 MHz, 94 %
41.51 W, 2502 MHz, 95 %
41.47 W, 2502 MHz, 94 %
41.35 W, 2502 MHz, 95 %
41.54 W, 2502 MHz, 96 %
41.69 W, 2496 MHz, 96 %
41.45 W, 2502 MHz, 95 %
41.36 W, 2496 MHz, 96 %
41.46 W, 2496 MHz, 95 %
41.36 W, 2502 MHz, 95 %
41.40 W, 2509 MHz, 89 %
41.69 W, 2509 MHz, 96 %
41.88 W, 2502 MHz, 95 %
41.57 W, 2502 MHz, 95 %
41.84 W, 2502 MHz, 96 %
41.73 W, 2502 MHz, 96 %
41.62 W, 2496 MHz, 94 %
41.62 W, 2502 MHz, 95 %
41.38 W, 2502 MHz, 94 %
41.33 W, 2496 MHz, 96 %
41.28 W, 2502 MHz, 95 %
40.56 W, 2496 MHz, 95 %
40.92 W, 2489 MHz, 96 %
