9.80 W, 2190 MHz, 0 %
8.79 W, 2190 MHz, 0 %
8.80 W, 2190 MHz, 0 %
8.84 W, 2190 MHz, 0 %
8.81 W, 2190 MHz, 0 %
8.79 W, 2190 MHz, 0 %
11.97 W, 2190 MHz, 95 %
26.33 W, 2190 MHz, 95 %
25.56 W, 2190 MHz, 94 %
25.62 W, 2190 MHz, 95 %
25.62 W, 2190 MHz, 94 %
25.66 W, 2190 MHz, 95 %
25.62 W, 2190 MHz, 94 %
25.68 W, 2190 MHz, 95 %
25.88 W, 2190 MHz, 95 %
26.60 W, 2190 MHz, 93 %
25.95 W, 2190 MHz, 95 %
26.00 W, 2190 MHz, 94 %
25.95 W, 2190 MHz, 95 %
25.95 W, 2190 MHz, 94 %
26.08 W, 2190 MHz, 95 %
26.09 W, 2190 MHz, 96 %
26.29 W, 2190 MHz, 94 %
26.56 W, 2190 MHz, 94 %
27.02 W, 2190 MHz, 95 %
26.23 W, 2190 MHz, 94 %
26.12 W, 2190 MHz, 94 %
26.37 W, 2190 MHz, 95 %
26.41 W, 2190 MHz, 94 %
26.44 W, 2190 MHz, 95 %
26.39 W, 2190 MHz, 94 %
26.43 W, 2190 MHz, 94 %
26.61 W, 2190 MHz, 93 %
26.68 W, 2190 MHz, 95 %
26.28 W, 2190 MHz, 95 %
26.40 W, 2190 MHz, 95 %
26.34 W, 2190 MHz, 95 %
26.42 W, 2190 MHz, 94 %
26.51 W, 2190 MHz, 95 %
26.60 W, 2190 MHz, 94 %
26.56 W, 2190 MHz, 95 %
26.79 W, 2190 MHz, 95 %
27.18 W, 2190 MHz, 94 %
26.49 W, 2190 MHz, 94 %
26.61 W, 2190 MHz, 95 %
26.63 W, 2190 MHz, 95 %
26.70 W, 2190 MHz, 94 %
26.77 W, 2190 MHz, 95 %
26.66 W, 2190 MHz, 95 %
26.74 W, 2190 MHz, 95 %
27.55 W, 2190 MHz, 95 %
27.12 W, 2190 MHz, 94 %
26.66 W, 2190 MHz, 96 %
26.75 W, 2190 MHz, 94 %
26.84 W, 2184 MHz, 94 %
26.76 W, 2190 MHz, 94 %
26.80 W, 2190 MHz, 94 %
26.96 W, 2190 MHz, 95 %
26.99 W, 2190 MHz, 94 %
27.83 W, 2190 MHz, 95 %
27.04 W, 2190 MHz, 94 %
26.87 W, 2190 MHz, 95 %
26.87 W, 2190 MHz, 94 %
26.99 W, 2190 MHz, 95 %
27.04 W, 2190 MHz, 95 %
27.07 W, 2190 MHz, 96 %
27.04 W, 2190 MHz, 93 %
27.12 W, 2190 MHz, 95 %
25.80 W, 2190 MHz, 93 %
24.43 W, 2190 MHz, 93 %
