7.76 W, 2177 MHz, 0 %
7.75 W, 2177 MHz, 0 %
7.74 W, 2177 MHz, 0 %
7.73 W, 2177 MHz, 0 %
7.73 W, 2177 MHz, 0 %
7.76 W, 2177 MHz, 0 %
14.00 W, 2190 MHz, 93 %
23.78 W, 2190 MHz, 94 %
23.43 W, 2190 MHz, 95 %
23.52 W, 2190 MHz, 94 %
23.47 W, 2190 MHz, 95 %
23.66 W, 2190 MHz, 93 %
23.55 W, 2190 MHz, 95 %
23.76 W, 2190 MHz, 95 %
24.08 W, 2190 MHz, 95 %
24.36 W, 2190 MHz, 95 %
23.87 W, 2190 MHz, 95 %
23.80 W, 2190 MHz, 95 %
23.75 W, 2190 MHz, 94 %
23.77 W, 2190 MHz, 94 %
23.97 W, 2190 MHz, 95 %
23.97 W, 2190 MHz, 94 %
24.01 W, 2190 MHz, 95 %
24.37 W, 2190 MHz, 94 %
24.41 W, 2190 MHz, 95 %
23.89 W, 2190 MHz, 94 %
23.95 W, 2190 MHz, 95 %
24.09 W, 2190 MHz, 95 %
24.09 W, 2190 MHz, 94 %
24.14 W, 2190 MHz, 95 %
24.02 W, 2190 MHz, 94 %
23.99 W, 2190 MHz, 95 %
24.44 W, 2190 MHz, 95 %
23.77 W, 2190 MHz, 94 %
23.92 W, 2190 MHz, 95 %
24.00 W, 2190 MHz, 94 %
23.91 W, 2190 MHz, 95 %
24.04 W, 2190 MHz, 94 %
24.09 W, 2190 MHz, 94 %
24.08 W, 2190 MHz, 94 %
24.16 W, 2190 MHz, 94 %
24.94 W, 2190 MHz, 93 %
24.14 W, 2190 MHz, 95 %
24.01 W, 2190 MHz, 94 %
24.14 W, 2190 MHz, 94 %
24.15 W, 2190 MHz, 95 %
24.21 W, 2190 MHz, 94 %
24.22 W, 2190 MHz, 95 %
24.15 W, 2190 MHz, 95 %
24.43 W, 2190 MHz, 94 %
25.32 W, 2190 MHz, 94 %
24.36 W, 2190 MHz, 94 %
24.31 W, 2190 MHz, 94 %
24.41 W, 2190 MHz, 96 %
24.41 W, 2190 MHz, 95 %
24.38 W, 2190 MHz, 94 %
24.34 W, 2190 MHz, 94 %
24.51 W, 2190 MHz, 95 %
24.84 W, 2190 MHz, 95 %
25.18 W, 2190 MHz, 94 %
24.41 W, 2190 MHz, 95 %
24.51 W, 2190 MHz, 95 %
24.46 W, 2190 MHz, 95 %
24.41 W, 2190 MHz, 95 %
24.52 W, 2190 MHz, 95 %
24.55 W, 2190 MHz, 94 %
24.62 W, 2190 MHz, 95 %
24.84 W, 2190 MHz, 94 %
22.29 W, 2190 MHz, 93 %
22.13 W, 2190 MHz, 93 %
