17.71 W, 2177 MHz, 0 %
9.43 W, 2177 MHz, 0 %
9.37 W, 2177 MHz, 0 %
9.37 W, 2177 MHz, 0 %
9.29 W, 2177 MHz, 0 %
9.28 W, 2177 MHz, 0 %
14.60 W, 2177 MHz, 90 %
24.13 W, 2177 MHz, 95 %
24.44 W, 2177 MHz, 95 %
24.60 W, 2177 MHz, 94 %
24.62 W, 2177 MHz, 94 %
24.56 W, 2177 MHz, 95 %
23.82 W, 2177 MHz, 94 %
24.50 W, 2177 MHz, 95 %
24.62 W, 2177 MHz, 94 %
24.58 W, 2177 MHz, 96 %
24.44 W, 2177 MHz, 95 %
24.73 W, 2177 MHz, 95 %
23.39 W, 2177 MHz, 88 %
24.55 W, 2177 MHz, 95 %
24.39 W, 2177 MHz, 95 %
24.52 W, 2177 MHz, 95 %
24.70 W, 2177 MHz, 96 %
24.67 W, 2177 MHz, 95 %
23.92 W, 2177 MHz, 91 %
23.91 W, 2177 MHz, 95 %
24.67 W, 2177 MHz, 95 %
24.67 W, 2177 MHz, 94 %
24.68 W, 2177 MHz, 95 %
24.56 W, 2177 MHz, 95 %
24.41 W, 2177 MHz, 92 %
23.94 W, 2177 MHz, 95 %
24.63 W, 2177 MHz, 95 %
24.65 W, 2177 MHz, 94 %
24.57 W, 2177 MHz, 95 %
24.63 W, 2177 MHz, 95 %
24.72 W, 2177 MHz, 95 %
23.82 W, 2177 MHz, 92 %
24.56 W, 2177 MHz, 95 %
24.70 W, 2177 MHz, 95 %
24.83 W, 2177 MHz, 95 %
24.77 W, 2177 MHz, 95 %
24.78 W, 2177 MHz, 95 %
23.74 W, 2177 MHz, 95 %
24.29 W, 2177 MHz, 95 %
24.73 W, 2177 MHz, 95 %
24.81 W, 2177 MHz, 95 %
24.65 W, 2177 MHz, 94 %
24.75 W, 2177 MHz, 95 %
24.29 W, 2177 MHz, 91 %
24.20 W, 2177 MHz, 95 %
24.48 W, 2177 MHz, 95 %
24.65 W, 2177 MHz, 94 %
24.73 W, 2177 MHz, 95 %
24.69 W, 2177 MHz, 95 %
24.34 W, 2177 MHz, 88 %
24.16 W, 2177 MHz, 95 %
24.65 W, 2177 MHz, 95 %
24.58 W, 2177 MHz, 94 %
24.65 W, 2177 MHz, 95 %
24.61 W, 2177 MHz, 95 %
24.59 W, 2177 MHz, 95 %
23.60 W, 2177 MHz, 90 %
24.62 W, 2177 MHz, 95 %
24.71 W, 2177 MHz, 95 %
24.67 W, 2177 MHz, 95 %
24.64 W, 2177 MHz, 95 %
24.89 W, 2177 MHz, 95 %
19.24 W, 2177 MHz, 0 %
9.53 W, 2177 MHz, 0 %
