21.26 W, 2184 MHz, 0 %
10.25 W, 2184 MHz, 0 %
10.25 W, 2184 MHz, 0 %
10.23 W, 2184 MHz, 0 %
10.17 W, 2184 MHz, 0 %
10.12 W, 2184 MHz, 0 %
12.54 W, 2184 MHz, 33 %
25.10 W, 2184 MHz, 94 %
25.41 W, 2184 MHz, 94 %
25.66 W, 2184 MHz, 94 %
25.75 W, 2184 MHz, 94 %
25.73 W, 2184 MHz, 94 %
24.95 W, 2184 MHz, 88 %
25.48 W, 2184 MHz, 94 %
25.76 W, 2184 MHz, 95 %
25.78 W, 2184 MHz, 94 %
25.69 W, 2184 MHz, 94 %
25.91 W, 2184 MHz, 94 %
24.92 W, 2184 MHz, 84 %
25.29 W, 2184 MHz, 94 %
25.80 W, 2184 MHz, 94 %
25.79 W, 2184 MHz, 94 %
25.97 W, 2184 MHz, 94 %
25.79 W, 2184 MHz, 94 %
25.45 W, 2184 MHz, 85 %
24.78 W, 2184 MHz, 95 %
25.82 W, 2184 MHz, 95 %
25.88 W, 2184 MHz, 94 %
25.86 W, 2184 MHz, 94 %
25.82 W, 2184 MHz, 94 %
25.81 W, 2184 MHz, 94 %
24.70 W, 2184 MHz, 86 %
25.86 W, 2184 MHz, 94 %
25.86 W, 2184 MHz, 94 %
25.82 W, 2184 MHz, 94 %
25.87 W, 2184 MHz, 94 %
25.94 W, 2184 MHz, 94 %
25.00 W, 2184 MHz, 90 %
25.65 W, 2184 MHz, 94 %
25.93 W, 2184 MHz, 95 %
26.03 W, 2184 MHz, 94 %
25.98 W, 2184 MHz, 94 %
26.08 W, 2184 MHz, 94 %
24.96 W, 2184 MHz, 91 %
25.49 W, 2184 MHz, 94 %
25.82 W, 2184 MHz, 94 %
26.00 W, 2184 MHz, 94 %
25.89 W, 2184 MHz, 95 %
25.98 W, 2184 MHz, 94 %
25.44 W, 2184 MHz, 94 %
25.39 W, 2184 MHz, 89 %
25.58 W, 2184 MHz, 95 %
25.81 W, 2184 MHz, 95 %
25.94 W, 2184 MHz, 94 %
25.97 W, 2184 MHz, 95 %
25.66 W, 2184 MHz, 90 %
25.41 W, 2184 MHz, 87 %
25.88 W, 2184 MHz, 95 %
25.73 W, 2184 MHz, 94 %
25.85 W, 2184 MHz, 94 %
25.82 W, 2184 MHz, 94 %
25.90 W, 2184 MHz, 95 %
24.66 W, 2184 MHz, 94 %
25.55 W, 2184 MHz, 94 %
25.91 W, 2184 MHz, 94 %
25.95 W, 2184 MHz, 95 %
25.76 W, 2184 MHz, 96 %
26.00 W, 2184 MHz, 94 %
22.17 W, 2184 MHz, 93 %
10.33 W, 2184 MHz, 0 %
