22.48 W, 2190 MHz, 51 %
10.91 W, 2190 MHz, 0 %
10.71 W, 2190 MHz, 0 %
10.69 W, 2190 MHz, 0 %
10.60 W, 2190 MHz, 0 %
10.62 W, 2190 MHz, 0 %
13.15 W, 2190 MHz, 74 %
26.11 W, 2190 MHz, 94 %
26.43 W, 2190 MHz, 95 %
26.61 W, 2190 MHz, 95 %
26.73 W, 2190 MHz, 95 %
26.74 W, 2190 MHz, 95 %
25.88 W, 2190 MHz, 89 %
26.55 W, 2190 MHz, 95 %
26.81 W, 2190 MHz, 94 %
26.78 W, 2190 MHz, 95 %
26.59 W, 2190 MHz, 94 %
26.94 W, 2190 MHz, 95 %
25.97 W, 2190 MHz, 90 %
26.41 W, 2190 MHz, 95 %
26.76 W, 2190 MHz, 94 %
26.83 W, 2190 MHz, 95 %
26.87 W, 2190 MHz, 95 %
26.75 W, 2190 MHz, 95 %
26.35 W, 2190 MHz, 89 %
26.02 W, 2190 MHz, 90 %
26.96 W, 2190 MHz, 95 %
26.95 W, 2190 MHz, 95 %
26.98 W, 2190 MHz, 96 %
26.91 W, 2190 MHz, 94 %
26.79 W, 2190 MHz, 95 %
25.95 W, 2190 MHz, 91 %
26.93 W, 2190 MHz, 94 %
26.91 W, 2190 MHz, 95 %
26.91 W, 2190 MHz, 95 %
27.03 W, 2190 MHz, 94 %
27.14 W, 2190 MHz, 95 %
26.13 W, 2190 MHz, 92 %
26.85 W, 2190 MHz, 94 %
26.98 W, 2190 MHz, 94 %
27.14 W, 2190 MHz, 95 %
27.09 W, 2190 MHz, 95 %
27.16 W, 2190 MHz, 96 %
26.06 W, 2190 MHz, 91 %
26.57 W, 2190 MHz, 94 %
27.00 W, 2190 MHz, 95 %
27.16 W, 2190 MHz, 94 %
27.00 W, 2190 MHz, 94 %
27.41 W, 2190 MHz, 94 %
26.74 W, 2190 MHz, 89 %
26.64 W, 2190 MHz, 93 %
27.05 W, 2190 MHz, 94 %
27.27 W, 2190 MHz, 95 %
27.38 W, 2190 MHz, 94 %
27.26 W, 2190 MHz, 94 %
26.86 W, 2190 MHz, 87 %
26.92 W, 2190 MHz, 94 %
27.30 W, 2190 MHz, 95 %
27.29 W, 2190 MHz, 94 %
27.47 W, 2190 MHz, 96 %
27.41 W, 2190 MHz, 94 %
27.56 W, 2190 MHz, 95 %
26.15 W, 2190 MHz, 94 %
27.05 W, 2190 MHz, 95 %
27.53 W, 2190 MHz, 94 %
27.50 W, 2190 MHz, 95 %
27.47 W, 2190 MHz, 96 %
27.60 W, 2190 MHz, 94 %
24.17 W, 2190 MHz, 0 %
11.10 W, 2190 MHz, 0 %
