17.86 W, 2190 MHz, 0 %
9.85 W, 2190 MHz, 0 %
9.74 W, 2190 MHz, 0 %
9.65 W, 2190 MHz, 0 %
9.60 W, 2190 MHz, 0 %
9.62 W, 2190 MHz, 0 %
15.23 W, 2190 MHz, 89 %
24.49 W, 2190 MHz, 94 %
24.64 W, 2190 MHz, 95 %
24.77 W, 2190 MHz, 95 %
24.89 W, 2190 MHz, 95 %
24.78 W, 2190 MHz, 95 %
23.94 W, 2190 MHz, 93 %
24.72 W, 2190 MHz, 94 %
24.83 W, 2190 MHz, 94 %
24.97 W, 2190 MHz, 94 %
24.80 W, 2190 MHz, 95 %
25.05 W, 2190 MHz, 94 %
23.76 W, 2190 MHz, 89 %
24.93 W, 2190 MHz, 95 %
24.80 W, 2190 MHz, 95 %
24.82 W, 2190 MHz, 95 %
24.93 W, 2190 MHz, 95 %
24.93 W, 2190 MHz, 94 %
24.15 W, 2190 MHz, 91 %
24.27 W, 2190 MHz, 94 %
24.88 W, 2190 MHz, 95 %
24.94 W, 2190 MHz, 94 %
24.93 W, 2190 MHz, 94 %
24.83 W, 2190 MHz, 95 %
24.74 W, 2190 MHz, 94 %
23.90 W, 2190 MHz, 95 %
24.90 W, 2190 MHz, 94 %
24.83 W, 2190 MHz, 96 %
24.73 W, 2190 MHz, 94 %
24.87 W, 2190 MHz, 94 %
25.00 W, 2190 MHz, 95 %
24.08 W, 2190 MHz, 94 %
24.92 W, 2190 MHz, 94 %
24.99 W, 2190 MHz, 95 %
25.09 W, 2190 MHz, 93 %
24.97 W, 2190 MHz, 95 %
25.04 W, 2190 MHz, 94 %
24.01 W, 2190 MHz, 92 %
24.59 W, 2190 MHz, 94 %
25.02 W, 2190 MHz, 94 %
25.10 W, 2190 MHz, 95 %
25.00 W, 2190 MHz, 94 %
25.10 W, 2190 MHz, 94 %
24.34 W, 2190 MHz, 86 %
24.36 W, 2190 MHz, 93 %
24.71 W, 2190 MHz, 95 %
24.92 W, 2190 MHz, 94 %
24.97 W, 2190 MHz, 95 %
25.04 W, 2190 MHz, 95 %
24.70 W, 2190 MHz, 87 %
24.48 W, 2190 MHz, 95 %
25.02 W, 2190 MHz, 95 %
24.96 W, 2190 MHz, 95 %
25.05 W, 2190 MHz, 94 %
25.03 W, 2190 MHz, 95 %
24.86 W, 2190 MHz, 85 %
23.89 W, 2190 MHz, 94 %
24.95 W, 2190 MHz, 95 %
24.99 W, 2190 MHz, 95 %
25.00 W, 2190 MHz, 95 %
24.99 W, 2190 MHz, 94 %
25.14 W, 2190 MHz, 95 %
19.00 W, 2190 MHz, 0 %
9.85 W, 2190 MHz, 0 %
